Series Name,"Country Name","Time","Value"
"Age population, age 0, female, interpolated","India","2000","12449860"
"Age population, age 0, female, interpolated","India","2001","12468504"
"Age population, age 0, female, interpolated","India","2002","12461035"
"Age population, age 0, female, interpolated","India","2003","12436768"
"Age population, age 0, female, interpolated","India","2004","12410415"
"Age population, age 0, female, interpolated","India","2012","11570601"
"Age population, age 0, female, interpolated","India","2013","11202651"
"Age population, age 0, female, interpolated","India","2014","10908693"
"Age population, age 0, female, interpolated","India","2015","10752206"
"Age population, age 0, female, interpolated","India","2016","10780341"
"Age population, age 0, female, interpolated","India","2017","10942761"
"Age population, age 0, female, interpolated","India","2018","11175670"
"Age population, age 0, female, interpolated","India","2019","11385787"
"Age population, age 0, female, interpolated","India","2020","11504767"
,"","",""
,"","",""
,"","",""
Data from database: Gender Statistics,"","",""
Last Updated: 12/18/2021,"","",""
